epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4919.67,1.40059,0.56946,0.00416,0.77149,0.47801,0.52604,0.32648,1.59637,1.05318,0.0076,0.000270253,0.000270253,0.000270253
43,5028.38,1.40255,0.56537,0.00415,0.73976,0.46305,0.50962,0.31731,1.61782,1.09953,0.00787,0.000268838,0.000268838,0.000268838
44,5137.74,1.37951,0.54654,0.00408,0.72317,0.52198,0.56548,0.35739,1.62074,1.08236,0.00798,0.000267394,0.000267394,0.000267394
45,5246.52,1.38977,0.54085,0.00405,0.62912,0.53612,0.55815,0.3698,1.6234,1.06206,0.00772,0.000265921,0.000265921,0.000265921
46,5355.27,1.37759,0.54108,0.00402,0.74152,0.50658,0.56332,0.36035,1.65703,1.0773,0.00787,0.00026442,0.00026442,0.00026442
47,5464.59,1.38004,0.54126,0.00396,0.7282,0.49153,0.53581,0.33594,1.60227,1.0842,0.00745,0.000262891,0.000262891,0.000262891
48,5573.2,1.38635,0.53206,0.00386,0.73129,0.50655,0.54851,0.34419,1.59731,1.07525,0.00756,0.000261335,0.000261335,0.000261335
49,5681.89,1.34896,0.50855,0.00394,0.73129,0.47498,0.54626,0.34622,1.61241,1.05679,0.00752,0.000259752,0.000259752,0.000259752
50,5791.16,1.3657,0.52689,0.00389,0.64345,0.51936,0.56121,0.34681,1.61828,1.06121,0.00741,0.000258142,0.000258142,0.000258142
51,5900.01,1.36578,0.50874,0.00392,0.58552,0.50158,0.52197,0.32297,1.63066,1.08807,0.00781,0.000256505,0.000256505,0.000256505
52,6008.79,1.36033,0.5007,0.00389,0.74694,0.50358,0.5521,0.3334,1.609,1.05029,0.00771,0.000254843,0.000254843,0.000254843
53,6118.01,1.34816,0.49611,0.00379,0.70021,0.50436,0.54991,0.33264,1.63364,1.08191,0.00762,0.000253155,0.000253155,0.000253155
54,6226.7,1.34492,0.49374,0.00385,0.65618,0.46833,0.53031,0.32523,1.61011,1.08352,0.00738,0.000251442,0.000251442,0.000251442
55,6335.33,1.33525,0.488,0.0038,0.71407,0.4848,0.53226,0.33418,1.61016,1.06385,0.0075,0.000249705,0.000249705,0.000249705
56,6444.53,1.33411,0.49011,0.00386,0.7733,0.46093,0.52115,0.34018,1.6135,1.0732,0.00754,0.000247943,0.000247943,0.000247943
57,6553.22,1.33548,0.48462,0.00376,0.66773,0.48098,0.54175,0.32359,1.62606,1.08442,0.00777,0.000246157,0.000246157,0.000246157
58,6661.98,1.34341,0.48339,0.00373,0.78863,0.44776,0.51689,0.31753,1.6232,1.09845,0.00784,0.000244349,0.000244349,0.000244349
59,6771.3,1.32396,0.47145,0.0038,0.57148,0.51547,0.5284,0.34395,1.60379,1.10995,0.00761,0.000242517,0.000242517,0.000242517
60,6880.17,1.31232,0.4738,0.00378,0.66369,0.46585,0.53253,0.32584,1.62293,1.058,0.00773,0.000240662,0.000240662,0.000240662
61,6988.92,1.2989,0.46796,0.00363,0.67689,0.48118,0.53969,0.32863,1.6401,1.05009,0.00797,0.000238786,0.000238786,0.000238786
62,7098.19,1.2981,0.45806,0.0037,0.69485,0.49159,0.54601,0.34136,1.63071,1.06354,0.00762,0.000236888,0.000236888,0.000236888
63,7206.81,1.29922,0.45436,0.00357,0.6305,0.49945,0.54998,0.34706,1.63112,1.1026,0.00754,0.000234969,0.000234969,0.000234969
64,7315.53,1.30782,0.45998,0.00362,0.76052,0.46837,0.52176,0.33807,1.6246,1.09525,0.00759,0.00023303,0.00023303,0.00023303
65,7424.84,1.31434,0.46244,0.00354,0.68907,0.46415,0.53026,0.34497,1.61828,1.08261,0.00784,0.00023107,0.00023107,0.00023107
66,7533.51,1.30378,0.44268,0.00349,0.67637,0.49522,0.5568,0.34612,1.60953,1.06266,0.00744,0.000229091,0.000229091,0.000229091
67,7642.21,1.27403,0.44942,0.00352,0.70857,0.46915,0.54472,0.34028,1.61397,1.10873,0.00756,0.000227093,0.000227093,0.000227093
68,7751.5,1.2767,0.44191,0.00356,0.77542,0.49704,0.55539,0.35269,1.60564,1.09864,0.0077,0.000225076,0.000225076,0.000225076
69,7860.14,1.29665,0.44016,0.00345,0.62667,0.55215,0.56426,0.35728,1.61039,1.10774,0.00748,0.00022304,0.00022304,0.00022304
70,7968.84,1.27147,0.44058,0.00345,0.78536,0.46581,0.54395,0.34171,1.61043,1.07491,0.00755,0.000220988,0.000220988,0.000220988
